SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
UMA-D,AC Mesh Dual-Band Antenna,An optional mesh antenna for AC Mesh.,135.00,135.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uma-d,Exact,2026-08-21T06:26:29+00:00
IW-HD-BK-3,Access Point In-Wall HD Cover,Customized encasing for In-Wall HD.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/iw-hd-cover,Exact,2026-08-21T06:26:29+00:00
IW-HD-CF-3,Access Point In-Wall HD Cover,Customized encasing for In-Wall HD.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/iw-hd-cover,Exact,2026-08-21T06:26:29+00:00
IW-HD-CT-3,Access Point In-Wall HD Cover,Customized encasing for In-Wall HD.,55.00,55.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/iw-hd-cover,Exact,2026-08-21T06:26:29+00:00
IW-HD-MB-3,Access Point In-Wall HD Cover,Customized encasing for In-Wall HD.,55.00,55.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/iw-hd-cover,Exact,2026-08-21T06:26:29+00:00
IW-HD-WD-3,Access Point In-Wall HD Cover,Customized encasing for In-Wall HD.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/iw-hd-cover,Exact,2026-08-21T06:26:29+00:00
UACC-Lite-AP-AM,Access Point Lite Arm Mount,Wall mount for compact UniFi Flagship WiFi access points.,27.00,27.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-lite-ap-am,Exact,2026-08-21T06:26:29+00:00
nHD-cover-Black-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
nHD-cover-Camo-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
nHD-cover-Concrete-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
